num_atoms,num_res,load,process,run,total,pdbid
1695,238,0.03750348091125488,0.07604193687438965,0.03534412384033203,0.14888954162597656,5t3h
2538,306,0.05657052993774414,0.010085105895996094,0.04565906524658203,0.11231470108032227,3olr
3346,438,0.07897472381591797,0.025059223175048828,0.06081581115722656,0.16484975814819336,3b8l
5231,648,0.09518694877624512,0.044159650802612305,0.09635782241821289,0.2357044219970703,4c3b
1474,185,0.03738737106323242,0.1797618865966797,0.03553056716918945,0.25267982482910156,6vii
2201,284,0.043023109436035156,0.011140584945678711,0.03980255126953125,0.09396624565124512,1j30
1379,160,0.047382354736328125,0.04154562950134277,0.035436153411865234,0.12436413764953613,6dp2
2477,317,0.0786752700805664,0.003064870834350586,0.0445098876953125,0.1262500286102295,6tu2
1642,210,0.047891855239868164,0.05220842361450195,0.03538799285888672,0.13548827171325684,5lol
2172,278,0.06900238990783691,0.0027189254760742188,0.03879046440124512,0.11051177978515625,6eqs
2054,264,0.06745767593383789,0.020621776580810547,0.0369267463684082,0.12500619888305664,4isu
2250,167,0.051337480545043945,0.002953767776489258,0.04070782661437988,0.09499907493591309,1vc5
3474,483,0.060502052307128906,0.004217863082885742,0.06288433074951172,0.12760424613952637,1qzu
2234,284,0.04104447364807129,0.10168313980102539,0.04036664962768555,0.18309426307678223,1n6c
1745,222,0.03200268745422363,0.058568477630615234,0.03551173210144043,0.1260828971862793,5qc3
7115,936,0.1182394027709961,0.00769495964050293,0.1345994472503662,0.26053380966186523,6t86
3464,440,0.05969572067260742,0.24655389785766602,0.06305575370788574,0.3693053722381592,2avd
2011,256,0.03934502601623535,0.10182046890258789,0.036253929138183594,0.17741942405700684,2fv9
1425,185,0.023163318634033203,0.057912349700927734,0.035440683364868164,0.1165163516998291,3kts
1448,190,0.030036449432373047,0.02091503143310547,0.035471200942993164,0.08642268180847168,4hcg
445,58,0.036743879318237305,0.014673948287963867,0.03548622131347656,0.08690404891967773,2kqd
1669,202,0.027746915817260742,0.002424955368041992,0.035918235778808594,0.06609010696411133,1v77
2994,377,0.053479671478271484,0.011681795120239258,0.054024457931518555,0.1191859245300293,3uwc
2188,283,0.0343785285949707,0.08750295639038086,0.03962874412536621,0.16151022911071777,6k8a
2101,263,0.037836551666259766,0.05109143257141113,0.03755331039428711,0.126481294631958,4tve
925,116,0.024564027786254883,0.059594154357910156,0.0356290340423584,0.11978721618652344,4roj
3800,481,0.06217694282531738,0.004351377487182617,0.06890201568603516,0.13543033599853516,2biw
6595,828,0.10343050956726074,0.0563662052154541,0.12351703643798828,0.2833137512207031,3e3g
5142,607,0.11905431747436523,0.163743257522583,0.09494352340698242,0.37774109840393066,3hp6
1472,189,0.046061038970947266,0.0023589134216308594,0.03589296340942383,0.08431291580200195,3bo7
1136,142,0.03393912315368652,0.01914072036743164,0.03546428680419922,0.08854413032531738,3zua
1741,219,0.0375823974609375,0.0024797916412353516,0.03592085838317871,0.07598304748535156,3omg
1317,178,0.044152259826660156,0.023298263549804688,0.035778045654296875,0.10322856903076172,6z72
